Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1878 - 3,2	P 001878 - 3,2	Zentrale		BV84/610	1599174001	"Novae-sektor zachodni  [3,2]. 1974 : Czesc II. - 1979. - 160 S. : Ill., Kt. (Seria archeologia ; 13)"	"Seria Archeologia ; 13"	1974	SIE	BALK	"RKZ;VWZ/FMA"	
P 1878 - 4	P 001878 - 4	Zentrale		BV84/615	1599175001	"Novae-sektor zachodni  [4]. 1976, 1978. - 1981. - 241 S. (Seria archeologia ; 18)"	"Seria archeologia ; 18"	1976, 1978	SIE	BALK	"RKZ;VWZ;FMA"	
P 1879 - 1	P 001879 - 1	Zentrale		BV95/780	1599181001	"Novae 1.  - 1995. (Serie archeologia ; 43)"	"Serie archeologia ; 43"		SIE	BALK	RKZ	
P 1880	P 001880	Zentrale		BV96/155	1599183001	"Martin, Geoffrey Thorndike: Auf der Suche nach... / Geoffrey T. Martin (Kulturgeschichte der antiken... ; 60)"	"Kulturgeschichte der antiken Welt ; 60"	Auf der Suche nach dem verlorenen Grab	GRÄ	AF	AW	3-8053-1615-1
P 1881	P 001881	Zentrale		BV96/131	1599187001	"Eike, Christine: Sozialformen der männlichen Jugend Altnorwegens / Christine Eike (Wiener Arbeiten zur germanis... ; 5)"	"Wiener Arbeiten zur germanischen Altertumskundeund Philologie ; 5"	Sozialformen der männlichen Jugend Altnorwegens	KULT	SK	MA/NZ	3-900269-10-6
P 1881h	P 001881h	Zentrale		BV86/540	1605485001	"Nováki, Gyula ; Sándorfi, György ; Miklós, Zsuzsa: A Börzsöny hegység oskori és középkori Várai / Nováki Gyula ; Sándorfi György, Miklós Zsuzsa (Fontes Archaeologici Hungariae ; [12])"	"Fontes Archaeologici Hungariae ; 12"	¬A¬ Börzsöny hegység oskori és középkori Várai	SIE	BALK	"NEO;BZ;EZ;RKZ;VWZ/FMA"	963-05-1496-6
P 1882	P 001882	Zentrale		BV66/341	1605486001	Novotný, Bohuslav: Luzianska skupina a pociatky mal ovanej keramiky na Slovensku / Bohuslav Novotný		Luzianska skupina a pociatky mal ovanej keramiky na Slovensku	"SIE;KER"	BALK	NEO	
P 1883	P 001883	Zentrale		B57/549	1605679001	Slovensko v mladsej dobe kamennej / Bohuslav Novotný		Slovensko v mladsej dobe kamennej	"SIE;GRÄ"	BALK	NEO	
P 1883b	P 001883b	Zentrale		BV83/693	1605680001	Novotný, Bohuslav: Sarovce / Bohuslav Novotný		Sarovce	GRÄ	BALK	"NEO;BZ;VWZ/FMA;MA/NZ"	
P 1884	P 001884	Zentrale		BV94/196	1605681001	"Novotný, Boris: Funde mittelalterlicher handwerklicher Erzeugnisse aus Iglau (Mähren) : (von d. 2. Hälfte d. 13. bis zum Beginn d. 15. Jh.) (Mitteilu... ; 31)(Denkschrif... ; 156)"	"Mitteilungen der Kommission für Burgenforschung und Mittelalter-Archäologie ; 31"	Funde mittelalterlicher handwerklicher Erzeugnisse aus Iglau (Mähren)	KER	CZ	MA/NZ	3-7001-0443-X
P 1885	P 001885	Zentrale		BV96/162	1605682001	"Des Lichtes beraubt... / hrsg. Marion Witteyer, Fsaold, Peter ... (Publikation aus dem Schwerpu... ; 8)"	"Publikation aus dem Schwerpunktprogramm ""Kelten, Germanen, Römer im Mittelgebirgsraum zwischen Luxemburg und Thüringen, archäologische und naturwissenschaftliche Forschungen zum Kulturwandel unter der Einwirkung Roms in den Jahrhunderten um Christi"	¬Des¬ Lichtes beraubt	"GRÄ;REL"	D	RKZ	3-88270-327-X
P 1886	P 001886	Zentrale		BV96/163	1605688001	Museum für Vor -und Frühgeschichte Frankfurt am Main : [Deutsch u. Engl.] / Red.: Roland Burgard u.a. (Schriftenreihe des Hochbauamtes zu ...)	Schriftenreihe des Hochbauamtes zu Bauaufgaben der Stadt Frankfurt am Main	Museum für Vor -und Frühgeschichte Frankfurt am Main	"KAT;MUS"	D		
P 1887	P 001887	Zentrale		BV96/166	1605693001	Agache, Roger: Les Hiéroglyphes de la terre Picardie : Photos aériennes R(oger) Agache, Musée Bouche de Perthes, 10.2 - 7.4.1996 / Roger Agache		Les Hiéroglyphes de la terre Picardie	"SOKA;PRO"	F		
P 1888	P 001888	Zentrale		BV96/167	1605697001	"Sur la voie de l'Histoire Archéollogie et TGV / sous la direction de Hélène Remy et Martine Soumoy (Etudes et documents : fouilles ; 2)"	"Etudes et documents : fouilles ; 2"	Sur la voie de l'Histoire Archéollogie et TGV	"SIE;AUS"	F	"PAL/MES;BZ;EZ;MA/NZ"	2-930112-21-2
P 1889	P 001889	Zentrale		BV96/173	1605699001	"Steures, D.C.: Geletterde Nijmegenaren / D.C. Steures. Uitgave: Vereniging van Vrienden van het Museum Kam (Museumstukken ; 5)"	"Museumstukken ; 5"	Geletterde Nijmegenaren	KAT	BEN	RKZ	90-71923-20-7
P 1890	P 001890			BV69/244		"Nowothnig, Walter: Osnabrück : Die Großsteingräber in der Umgebung / [Walter Nowothnig] (Osnabrück ; 7)"			"ARF;STE"	D	NEO	
P 1891	P 001891	Zentrale		BV85/280	1605708001	"Nowotny, Eduard: Römerspuren nördlich... / von Eduard Nowotny (Sitzungsberichte / Kais. Aka... ; ...)"	"Sitzungsberichte / Kais. Akademie der Wissenschaften in Wien, Philosophisch-Historische Klasse ; 187,2"	Römerspuren nördlich der Donau	"SIE;GRÄ"	D	RKZ	
P 1892	P 001892	Zentrale		BV96/156	1605709001	"Frühgriechische Bronzehelme / Hermann Born ; Svend Hansen. Hrsg. von Hermann Born (Sammlung Axel Guttmann ; 3)"	"Sammlung Axel Guttmann ; 3"	Frühgriechische Bronzehelme	MET	GR	EZ	3-8053-1665-8
P 1893	P 001893	Zentrale		BV96/157	1605711001	"Schutzwaffen aus Assyrien und Urartu / Hermann Born ; Ursula Seidl. Hrsg. von Hermann Born (Sammlung Axel Guttmann ; 4)"	"Sammlung Axel Guttmann ; 4"	Schutzwaffen aus Assyrien und Urartu	MET	AS	AW	3-8053-1666-6
P 1894	P 001894	Zentrale		BV96/154	1605712001	"Handwerk und Technologie im Alten Orient : ein Beitrag zur Geschichte der Technik im Altertum ; internationale Tagung, Berlin, 12. - 15. März 1991 / Staatliche Museen..."		Handwerk und Technologie im Alten Orient	"TEC;VER"	AS	AW	3-8053-1598-8
P 1895	P 001895	Zentrale		BV70/302	1605713001	Nuber, Hans Ulrich: Ausgrabungen in Bad Gögging, Stadt Neustadt an der Donau, Landkreis Kelheim : römisches Staatsheilbad und frühmittelalterliche Kirchen / Hans Ulrich Nuber		Ausgrabungen in Bad Gögging, Stadt Neustadt an der Donau, Landkreis Kelheim	"SIE;MED"	D	"RKZ;VWZ/FMA"	
P 1896	P 001896	Zentrale		BV96/151	1605714001	"Eichmann, Ricardo: Koptische Lauten : eine musikarchäologische Untersuchung von sieben Langhalslauten des 3. - 9. Jh. n. Chr. aus Ägypten (Sonderschrift / Deutsches Ar... ; 27)"	"Sonderschrift / Deutsches Archäologisches Institut, Abteilung Kairo ; 27"	Koptische Lauten	TEC	AF	"AW;VWZ/FMA"	3-8053-1498-1
P 1897	P 001897	Zentrale		BV/ohne	1605715001	Nübling, Verena: Spätneolithikum und Bronzezeit am Niederrhein und in Westfalen / von Verena Nübling		Spätneolithikum und Bronzezeit am Niederrhein und in Westfalen	"MET;INV"	"W;D"	"NEO;BZ"	
P 1898 - 1	P 001898 - 1	Zentrale			1536560001	Band 1 (Lübecker Schriften zur Archäologie und Kulturgeschichte)			SIE	D	"PAL/MES;NEO;VWZ/FMA;MA/NZ"	
P 1898 - 10	P 001898 - 10	Zentrale		BV87/622	1538437001	"Archäologische und schriftliche Quellen zur spätmittelalterlich-neuzeitlichen Geschichte der Hansestadt Lübeck. Materialien u. Methoden e. archäolog.-histor. Auswertung (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 10)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 10"	Archäologische und schriftliche Quellen zur spätmittelalterlich-neuzeitlichen Geschichte der Hansestadt Lübeck	"SIE;GE"	D	MA/NZ	3-7749-2199-7
P 1898 - 11	P 001898 - 11	Zentrale			1536590001	Band 11 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 11"		SIE	D	"VWZ/FMA;MA/NZ"	
P 1898 - 12	P 001898 - 12	Zentrale			1536591001	Band 11 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 12"		"BO;DAT;TEC;SIE"	"D;BALT"	"VWZ/FMA;MA/NZ"	
P 1898 - 13	P 001898 - 13	Zentrale		BV88/828	1538450001	"Forschungsprobleme um den slawischen Burgwall Alt Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 13)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 13"	[Dr. phil. Werner Neugebauer ... zum 80. Geburtstag am 16. Oktober 1988 zugeeignet]	SIE	D	"VWZ/FMA;MA/NZ"	3-7749-2328-0
P 1898 - 14	P 001898 - 14	Zentrale		BV89/306	1538447001	"Stadtarchäologie in Deutschland und den Nachbarländern. Ergebnisse, Verluste, Konzeptionen (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 14)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 14"	Stadtarchäologie in Deutschland und den Nachbarländern	"KO;SIE"	"D;EU"	MA/NZ	3-7749-2329-9
P 1898 - 15	P 001898 - 15	Zentrale		BV89/127	1538445001	"Katalog vorgeschichtlicher Funde in der Hansestadt Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 15)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 15"	Katalog vorgeschichtlicher Funde in der Hansestadt Lübeck	"KER;KNO;MET"	D	"PAL/MES;NEO;BZ;EZ;VWZ/FMA;MA/NZ"	3-7749-2359-0
P 1898 - 16	P 001898 - 16	Zentrale		BV90/526	1538461001	"Baugeschichte und Handwerk auf dem Lübecker Stadthügel (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 16)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 16"	Baugeschichte und Handwerk auf dem Lübecker Stadthügel	"SIE;TEC"	D	MA/NZ	3-7749-2383-3
P 1898 - 17	P 001898 - 17	Zentrale		BV89/128	1538464001	"25 Jahre Archäologie in Lübeck. Erkenntnisse von Archäologie u. Bauforschung zur Geschichte u. Vorgeschichte d. Hansestadt ; Amt für Vor- u. Frühgeschichte (Bodendenkmalpflege) d. Hansestadt Lübeck 1963 - 1988 (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 17)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 17"	25 Jahre Archäologie in Lübeck	"SIE;GRÄ;DAT"	D	"NEO;BZ;EZ;VWZ/FMA;MA/NZ"	3-7749-2376-0
P 1898 - 18	P 001898 - 18	Zentrale		BV93/181	1538466001	"Beiträge der Archäologie zum Lübecker Hafen (Lübecker Schriften zur Archäologie und Kulturgeschichte ;18)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 18"	Beiträge der Archäologie zum Lübecker Hafen	"SIE;NUM"	D	MA/NZ	3-7749-2430-9
P 1898 - 19	P 001898 - 19	Zentrale		BV90/711	1538467001	"Glas- und Keramikfunde des späten Mittelalters und der früheren Neuzeit aus Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 19)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 19"	Glas- und Keramikfunde des späten Mittelalters und der früheren Neuzeit aus Lübeck	"GLA;KER"	D	MA/NZ	3-7749-2417-1
P 1898 - 2	P 001898 - 2	Zentrale			1536584001	Band 1 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	Lübecker Schriften zur Archäologie und Kulturgeschichte		"ZOO; SIE"	D	MA/NZ	
P 1898 - 20	P 001898 - 20	Zentrale		BV90/481	1538469001	"Topographie und Hausbau der Frühzeit in Städten des hansischen Wirtschaftsraumes (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 20)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 20"	Topographie und Hausbau der Frühzeit in Städten des hansischen Wirtschaftsraumes	"SIE;TEC"	"D;BALT"	"VWZ/FMA;MA/NZ"	3-7749-2441-4
P 1898 - 21	P 001898 - 21	Zentrale		BV92/146		"Beiträge zur Bevölkerung Lübecks, zu ihrer Ernährung und Umwelt (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 21)"			"AN;ZOO;ERN"	D	MA/NZ	
	P 001898 - 21/22				1538483001		"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 21"	Beiträge zur Bevölkerung Lübecks, zu ihrer Ernährung und Umwelt				3-7749-2487-2
P 1898 - 22	P 001898 - 22	Zentrale		BV92/715		"Untersuchungen zu Bau- und Kulturgeschichte Lübecks. mit einem vergleichenden Beitrag zu Greifswald (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 22)"			"AN;GRÄ;KLE;SIE"	D	MA/NZ	
P 1898 - 23	P 001898 - 23	Zentrale		BV93/616	1538486001	"Beiträge zur Archäologie von Slawen und Deutschen (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 23)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 23"	Beiträge zur Archäologie von Slawen und Deutschen	"SIE;AN;TEX"	D	"BZ;VWZ/FMA;MA/NZ"	3-7749-2586-0
P 1898 - 24	P 001898 - 24	Zentrale		BV96/927	1538487001	"Archäologische und baugeschichtliche Untersuchungen auf dem Lübecker Stadthügel (Lübecker Schriften zur Archäologie und Kulturgeschichte  ; 24)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 24"	Archäologische und baugeschichtliche Untersuchungen auf dem Lübecker Stadthügel	"SIE;AN"	D	MA/NZ	3-7749-2617-4
P 1898 - 25	P 001898 - 25	Zentrale		BV98/306	501413002	"¬Die¬ Baugeschichte des Heiligen-Geist-Hospitals zu Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 25)"	"Lübecker Schriften zu Archäologie und Kulturgeschichte ; 25"	¬Die¬ Baugeschichte des Heiligen-Geist-Hospitals zu Lübeck	SIE	D	MA/NZ	3-7749-2822-3
P 1898 - 26	P 001898 - 26	Zentrale		BV03/231	402453001	"Archäologische Untersuchungen auf dem Lübecker Stadthügel. Befunde und Funde (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 26)"	"Lübecker Schriften zu Archäologie und Kulturgeschichte ; 26"	Archäologische Untersuchungen auf dem Lübecker Stadthügel	"SIE;GRÄ"	D	MA/NZ	3-7749-3141-0
P 1898 - 27	P 001898 - 27	Zentrale		BV10/642	1594569001	"Zur Siedlungsgeschichte des ehemaligen Lübecker Kaufleuteviertels im 12. und frühen 13. Jahrhundert. nach den ältesten Befunden der Grabung Alfstraße - Fischstraße - Schüsselbuden, 1985-1990 (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 27)"	"Lübecker Schriften zu Archäologie und Kulturgeschichte ; 27"	Zur Siedlungsgeschichte des ehemaligen Lübecker Kaufleuteviertels im 12. und frühen 13. Jahrhundert	"SIE;HOL"	D	MA/NZ	978-3-86757-427-3
P 1898 - 28	P 001898 - 28	Zentrale		BV15/1084	1726616001	"Zur Siedlungsgeschichte des ehemaligen Lübecker Kaufleuteviertels vom 12. bis zum 20. Jahrhundert (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 28)"	"Lübecker Schriften zu Archäologie und Kulturgeschichte ; 28"	Zur Siedlungsgeschichte des ehemaligen Lübecker Kaufleuteviertels vom 12. bis zum 20. Jahrhundert	"SIE;WIR"	D	MA/NZ	978-3-86757-428-0
P 1898 - 29	P 001898 - 29	Zentrale		BV15/1085	1726618001	"¬Die¬ Lübecker Keramikchronologie vom 12. bis zum 16. Jahrhundert (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 29)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 29"	¬Die¬ Lübecker Keramikchronologie vom 12. bis zum 16. Jahrhundert	"SIE;KER"	D	MA/NZ	978-3-86757-429-7
P 1898 - 3	P 001898 - 3	Zentrale			1536585001	Band 1 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 3"		"SIE; NUM"	D	"VWZ/FMA;MA/NZ"	
P 1898 - 30	P 001898 - 30	Zentrale		BV16/0536	1738197001	Mittelalterliche und frühneuzeitliche Glasfunde aus der Altstadt von Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte 30)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 30"	Mittelalterliche und frühneuzeitliche Glasfunde aus der Altstadt von Lübeck	"GLA;KER"	D	MA/NZ	978-3-86757-430-3
P 1898 - 31	P 001898 - 31	Zentrale		BV18/0014	1767524001	"Studien zum Bronzeguss und zur Keramik im mittelalterlichen Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 31)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 31"	Studien zum Bronzeguss und zur Keramik im mittelalterlichen Lübeck	"MET;KER"	D	MA/NZ	978-3-86757-431-0
P 1898 - 32	P 001898 - 32	Zentrale		BV18/0463	1774620001	"Funde aus der Lübecker Altstadt I. Spielzeug und Ofenkacheln, Tonpfeifen und Tuchplomben (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 32)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 32"	Funde aus der Lübecker Altstadt I	SIE	D	MA/NZ	978-3-86757-432-7
P 1898 - 4	P 001898 - 4	Zentrale			1536586001	Band 1 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 4"	Beiträge des Lübeck-Symposiums 1978 zu Geschichte und Sachkultur des Mittelalters und der Neuzeit	"KO;SIE;KER;KLE;WIR"	"D;A;BALT"	"VWZ/FMA;MA/NZ"	
P 1898 - 5	P 001898 - 5	Zentrale			1536587001	Band 1 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 5"		"SIE;WIR;GRÄ"	"D;GB"	"NEO;BZ;EZ;VWZ/FMA;MA/NZ"	
P 1898 - 6	P 001898 - 6	Zentrale			1536588001	Band 1 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 6"		"SIE;KNO;BO;KLE"	D	MA/NZ	
P 1898 - 7	P 001898 - 7	Zentrale			1538411001	"Seehandelszentren des nördlichen Europa. d. Strukturwandel vom 12. zum 13. Jahrh. ; Beitr. d. Ostsee-Kolloquiums Lübeck 1981 (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 7)"	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 7"	Seehandelszentren des nördlichen Europa	"KO;WIR"	"D;SK;GB;BALT"	MA/NZ	3-7749-1928-3
P 1898 - 8	P 001898 - 8	Zentrale			1536589001	Band 8 (Lübecker Schriften zur Archäologie und Kulturgeschichte)	"Lübecker Schriften zur Archäologie und Kulturgeschichte ; 8"		"SIE;AN;ZOO"	D	MA/NZ	
P 1898 - 9	P 001898 - 9	Zentrale		BV84/840	1538415001	"Forschungsprobleme um den slawischen Burgwall Alt Lübeck (Lübecker Schriften zur Archäologie und Kulturgeschichte ; 9)"			"SIE; WIR;ZOO"	"D;BALT"	VWZ/FMA	3-7749-2063-X
P 1899	P 001899	Zentrale		Bv96/147	1605718001	"Gundel, Hans Georg: Zodiakos : Tierkreisbilder im Altertum; kosmische Bezüge und Jenseitsvorstellungen im antiken Alltagsleben / Hans Georg Gundel (Kulturgeschichte der antiken... ; 54)"	"Kulturgeschichte der antiken Welt ; 54"	Zodiakos	"KULT;KU"	EU	AW	3-8053-1324-1
P 1900	P 001900	Zentrale		BV96/150	1605724001	"Geroulanos, Stephanos: Trauma : Wundentstehung und Wundpflege im antiken Griechenland / Stephanos Geroulanos ; René Bridler (Kulturgeschichte der antiken... ; 56)"	"Kulturgeschichte der antiken Welt ; 56"	Trauma	MED	GR	AW	3-8053-1413-2
P 1990 - 2	P 001900 - 2	Zentrale		BV97/19		Roman military architecture on the Eastern frontier 2.  - 1996. - 457 S.						
P 1990 - 3	P 001900 - 3	Zentrale		BV87/880		Roman military architecture on the Eastern frontier 3. Part II : Maps and figures. - 1997. - Getr. Zählung : Ill., zahlr. Kt.						
P 1901	P 001901	Zentrale		BV96/192	1605727001	"Der römische Vicus von Gleisdorf : Bericht über die Ausgrabungen 1988 - 1990 / hrsg. von Thuri Lorenz ... (Veröffentlichungen des Insti... ; 2)"	"Veröffentlichungen des Instituts für Klassische Archäologie der Karl-Franzens-Universität Graz ; 2"	Der römische Vicus von Gleisdorf	SIE	A	RKZ	3-901232-07-9
P 1902	P 001902	Zentrale		BV83/664	1605731001	Numantia : investigaciones arqueológicas en Castilla y Leon / ed.: Asociación de Amigos del Museo Numantino		Numantia	"SIE;KU"	"IB;F"	"PAL/MES;NEO;BZ;EZ;RKZ"	
P 1903 - 1	P 001903 - 1	Zentrale		BV96/195	1605737001	"Stratigraphy and structures 1,1. Stratigraphy and structures. - 1994. - XII, 188 S. : zahlr. Ill. und Kt. + 4 Mikrofiches (Roman Alcester series ; 1,1)(CBA research report ; 96)"	"Roman Alcester series ; 1,1"	Stratigraphy and structures	GRÄ	BR	RKZ	
P 1903 - 2	P 001903 - 2	Zentrale		BV96/95	1605740001	"Stratigraphy and structures 1,2. Finds and discussion . - 1994. - XV, 286 S. : Ill., Kt. (Roman Alcester series ; 1,2)(CBA research report ; 97)"	"Roman Alcester series ; 1,2"	Finds and discussion 	GRÄ	BR	RKZ	
P 1904	P 001904	Zentrale		BV96/199	1605743001	Klanica, Zdenek: Pocátky slovanského osídlení nasich zemí / Zdenek Klanica - 1. vyd.		Pocátky slovanského osídlení nasich zemí	"SIE;WIR"	"PL;BALK"	VWZ/FMA	
P 1905	P 001905	Zentrale		BV65/105	1605745001	"Nylén, Erik: Die jüngere vorrömische Eisenzeit Gotlands : Funde, Chronologie, Formenkunde / von Erik Nylén (Monografier ; 39)"	"Monografier ; 39"	Die jüngere vorrömische Eisenzeit Gotlands	"GRÄ;MET"	SK	EZ	
P 1905b	P 001905b	Zentrale		BV79/321	1605747001	Nylén, Erik: Bildstenar : med katalog över samtliga på Gotland kända bildstenar samt bibliografi över bildstenslitteratur utarbetade / Erik Nylén. Fil dr Jan Peder Lamm		Bildstenar	KU	SK	VWZ/FMA	
P 1905c	P 001905c	Zentrale		BV81/497	1605748001	"Lamm, Jan Peder ; Nylén, Erik: Bildsteine auf Gotland / Jan Peder Lamm ; Erik Nylén"		Bildsteine auf Gotland	KU	SK	VWZ/FMA	
P 1905d	P 001905d	Zentrale		BV83/712	1605750001	"Nylén, Erik: Gotländischer Runensteinsti... / Erik Nylén (Monografier ; 51)"	"Monografier ; 51"	Gotländischer Runensteinstil 1	"KU;KULT"	SK	VWZ/FMA	
P 1906	P 001906	Zentrale		BV96/200	1605751001	Droberjar, Eduard: Terra sigillata in Mähren : Funde aus germanischen Lokalitäten / von Eduard Droberjar (Mährische archäologische Quellen)	Mährische archäologische Quellen	Terra sigillata in Mähren	KER	BALK	RKZ	80-900788-0-X
